Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha _day_1_1, Alpha _day_1_2
Q961R9,-0.114097699,-0.337776267,-0.795834237,1.692203992
Q9VCI7,-1.24779948,-1.389035421,-1.73082319,-1.100298443
O15943-7;O15943-6;O15943-5;O15943;Q4ABE8;Q4ABE7;O15943-8;O15943-4;O15943-3;O15943-2;Q4ABE9;Q4ABF0,-0.497384248,-0.797864419,-0.691685728,-0.873952245
P05661-4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VT49,-1.063167987,-1.366652494,-0.723062702,-1.048650934
Q9VX14,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94517,-1.613343538,-0.230448278,-1.494759446,-0.955032414
P52486,-1.401368007,-1.697312462,-1.497526816,-1.428798909
Q9XZ58,-1.582814485,-1.355497628,-0.998673331,-0.709386867
Q9VDE2,0.670568446,0.847756437,1.055750964,0.64745267
O18338,-0.080835378,-0.024003042,0.167229454,-0.197500695
Q94529;E2QCN9,1.271963449,1.098015234,0.961919615,0.919759576
P48159,-2.130934044,-1.960608893,-1.514408303,-1.395017788
Q9VEP8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VLP0,0.691802133,0.692695,0.744677789,0.412185359
Q9W0I6,-1.750251285,-1.734035093,-1.022038736,-0.658515157
Q9VXP4,-0.861919514,-0.555650976,-0.966094272,-0.89073306
Q9VCC6,0.938022262,-0.897489673,-1.019258102,-0.842128433
Q9VG98,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3C7,-0.440968356,-0.994010837,-0.228689079,#VALUE!
Q9VHT3,-0.707406697,-0.935862135,-0.659813764,-0.848920527
Q9VF28;Q8IND1,-0.598260325,#VALUE!,-0.992689662,-0.870914852
Q8MLN7,#VALUE!,2.59493067,#VALUE!,#VALUE!
Q9VWD0,-0.533263263,-0.668547005,#VALUE!,-0.715651703
Q9VAW5;Q9VAW5-1;Q9VAW5-2;Q9VAW4,0.014926544,-0.091356153,#VALUE!,-1.053883024
Q9VCV4,-1.392440057,-1.191820916,-2.444812094,-1.70505289
Q9VW40,-0.115534926,#VALUE!,-0.147793366,-0.422249736
Q9VB46,-1.054512152,-0.802059143,-0.033038034,-0.718402631
Q9VRJ9,-0.998413908,-0.812232253,0.246833688,-1.009640488
Q9VPX5,-0.034544456,0.284158746,#VALUE!,-0.421399364
Q9VZW1,-0.463648642,#VALUE!,#VALUE!,0.010493419
Q8SY19,0.346531462,0.260748328,0.282261867,0.084200362
Q9Y0Y7,-1.847725705,-0.460071957,#VALUE!,-1.154827126
Q961Q8,-0.202571918,-0.109249819,-0.109296505,-0.501116018
Q9VKX4,-1.181084012,-1.86638387,-1.486650752,-1.476779313
A8WH76,0.096261853,0.189792938,0.144176924,0.103262627
Q9VQR0,-0.310843998,-0.397410097,-0.020647749,-0.005956182
Q961B3,0.849518948,0.948750342,0.519239949,0.376068071
Q7JUS1,-0.594268982,-0.307965668,#VALUE!,#VALUE!
Q9VWY5,-1.172473608,-0.950592275,-0.693201152,-0.752971794
Q24048-2;Q1RL12,#VALUE!,#VALUE!,0.712639798,#VALUE!
Q9VH26,#VALUE!,-0.392837789,-1.1727663,#VALUE!
Q9U6A0-2;Q9U6A0,-0.102790559,0.394404385,0.189539944,0.155619721
Q9VEH2,1.347608968,0.9644356,0.85239842,0.929336534
Q9VQK7,-0.439617637,-0.409029181,-0.587099271,-0.648507354
Q9W396,0.001586092,0.177343788,0.12631213,0.097475959
Q9W236;Q8SY83,0.762816526,0.883855382,0.334110568,0.135272179
Q9VN73,#VALUE!,0.107286135,-0.277936237,#VALUE!
Q7K3W4,0.452595435,0.687150294,0.270110276,0.602076748
A1ZA89;Q8STB9;Q8WR08,-0.7615066,-0.868147154,-0.958168283,-0.7154148
Q9VUZ8,-0.531302002,-0.501871703,-0.600730451,-0.466795501
Q9VKW8,-0.259685473,-0.512822392,-0.471168669,-0.075626427
A1ZBW1;A1ZBW0;A1ZBW3;E1JGN7;A1ZBW4,-0.381028435,-0.659471912,-0.064479905,-0.662688523
Q9VJG4,0.889707158,0.304160547,0.522457558,0.626298949
Q9VEK7;Q8IN97,1.012997664,0.484189701,-0.213152756,-0.318379825
O97365,#VALUE!,#VALUE!,-0.364849276,-0.236690416
Q9VRD6;A8JUT4;Q9VJ85,1.641361056,1.450432671,1.085560625,#VALUE!
A1Z742;A1Z741;Q7JUR6,0.248777694,#VALUE!,#VALUE!,#VALUE!
Q9VCA5,-1.520107234,-2.163138681,-1.810915556,-1.877897184
Q9VLB1,-1.234736845,-1.311685339,-3.43147362,-3.478523052
Q9V3U2;REV__P46415,-0.556138778,-0.439930735,-0.450222416,-0.392099232
Q29QY7;Q86BG3,1.097071371,1.085832524,1.251264629,0.665028868
Q9VP69;Q8IPU1,0.992768431,0.691623493,0.882290891,0.920826827
Q9VEP9,0.552278691,0.499986164,0.45037988,-0.004797716
Q9VCI3-3;Q9VCI3;Q9VCI3-2,-1.598063771,-0.794757645,-1.586665886,-1.60235035
Q24523-3;Q24523;Q24522;E1JHG7;Q24522-3;E1JH96;Q24522-4;Q24522-2,0.263274835,#VALUE!,0.30987466,0.100708589
Q9VDI5,-0.614690458,-0.587185964,-0.078792203,-0.675212434
P37193,#VALUE!,#VALUE!,2.241657166,#VALUE!
Q9VXH7,1.158337027,0.967389976,0.637192887,0.49241724
Q9VA95,#VALUE!,0.991027447,#VALUE!,#VALUE!
Q9VDV3,-0.154618343,-0.135411691,0.542505701,0.319386715
Q03751-3;Q03751-2;Q03751,0.986374526,1.20720569,1.726656863,2.106683324
A8JR58;Q8SXY1,#VALUE!,1.255802837,0.960734102,1.051859299
Q7JRA7;Q5BIE4,0.854394678,#VALUE!,1.564378169,1.598222263
E1JHU5;Q4ABG9,-0.408071699,-0.805459024,-1.173677277,-0.636772843
Q8MLN6;Q9W122,-1.35812108,-1.193568698,-1.45842569,-0.280895433
Q9VAY9,-0.782545916,-1.171303434,-0.556478215,-0.951233714
O76877,1.017565643,1.236278303,0.806282807,0.933421563
Q9V535,0.21971064,0.195851509,0.129085148,0.256527627
Q8IMX8,1.033440622,0.847034789,0.739761711,0.302523778
Q9VMF1,0.3934162,0.627513457,0.121413331,2.149714608
O97066,0.039559557,0.262914176,0.406645508,0.246833688
Q9VGJ6,-0.584133189,-0.633837278,-0.783911482,-0.74942643
Q9Y1A3,#VALUE!,#VALUE!,1.175811994,1.344942091
Q0E8N7,1.666302128,0.901185494,1.513490746,0.654985383
A8DYH2,0.256286071,0.332622014,0.04558276,0.177343788
O77477,-0.485559561,-0.728024603,-1.131250029,-0.351773876
A1ZB72,2.735912042,#VALUE!,1.442067663,#VALUE!
Q8SXF0,-1.039695887,-1.286726499,-1.397638143,-1.209795144
Q9VK45,0.358508792,0.284987847,0.50771854,1.200629898
Q9VGP7,-0.39796127,-0.6266469,-1.064525165,-1.444655006
Q9VU75,1.450907702,0.867501151,1.390282475,1.491186096
Q9VX35,1.258458623,1.538587825,-0.192447236,1.309117966
Q9VT65,-0.671094619,-0.353394923,0.16812853,-0.171303434
Q9VV23,2.216982489,2.197016127,2.478661236,2.679266143
P22979,-0.874904397,-1.265379247,-1.265344567,-0.65371818
Q23970,#VALUE!,3.900528731,2.587364991,2.69525892
Q8MLS1,1.899098272,2.799874769,2.299830762,2.27733018
A1Z893,1.960697039,2.047538389,2.359099433,2.147892776
Q9VK00,2.146752962,2.151956205,1.902575299,2.00680068
Q9VVW6,-2.3382504,-1.602569395,#VALUE!,#VALUE!
E1JIC6;Q8IRC2;E1JIC5;Q8I0Q7;Q9VZI4;Q95U18,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7KJ69,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P07182,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VE20,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VFC1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7KU82;Q9VS62;P91638,-1.818732034,-1.547383481,-1.076767132,#VALUE!
Q9VP46,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q4QPR8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4Y1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
B7Z0Z7;Q9VX90;Q8IR04,#VALUE!,#VALUE!,#VALUE!,#VALUE!
B7YZF9;B7YZF7;Q8T0I4;A1Z9C8;Q6AWM7;B7YZG0;B7YZF6;Q0E990;B7YZF5;B7YZF8,#VALUE!,-2.121737651,#VALUE!,#VALUE!
Q8IQQ0,#VALUE!,-1.330029893,#VALUE!,#VALUE!
Q9XZ06,-1.94169736,-1.559664334,-0.086599286,#VALUE!
B7Z0T1;Q86BB6;B7Z0T2;Q9VN49,-1.18954867,#VALUE!,#VALUE!,#VALUE!
Q9VIX4,-0.523234682,-1.572694196,-1.683112822,-2.888754971
Q9V770,-0.655466888,#VALUE!,#VALUE!,#VALUE!
Q9VNH6,-1.511073732,-1.958364501,#VALUE!,#VALUE!
Q94900-3;Q94900-5;Q94900-2;E1JIQ1;Q94900-4;Q94900;E1JIQ2;Q0IGX3,-1.849128423,#VALUE!,#VALUE!,-1.322324891
Q9VRP4,0.245860702,#VALUE!,-0.08554263,#VALUE!
Q7JWD3,#VALUE!,-1.284089062,-1.086936354,-0.964742089
Q9VEV1;Q8INB3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7KVB1;Q9W0C5;Q7KVA9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V6X7,#VALUE!,#VALUE!,-2.230803761,#VALUE!
A1Z813,-0.664882667,#VALUE!,-1.762142633,#VALUE!
Q9VXF1,-1.003698035,-1.828280761,-0.933876358,-0.363159644
Q9VZU8,-1.410581651,-1.456840702,#VALUE!,#VALUE!
Q8IQP1;Q9VV89;Q8IQP2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P08120,-0.875327777,-0.713379034,#VALUE!,#VALUE!
Q8MKK1,#VALUE!,-0.236775414,#VALUE!,#VALUE!
Q9VIW3,-1.009843833,-1.713402689,-1.329123416,-1.182818827
Q9VW60,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VMR8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZE6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7JRN6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8I0B7;Q9VND3;E1JJ51,#VALUE!,#VALUE!,#VALUE!,#VALUE!
B7Z036;Q9VM55;E1JHA6,-2.235280182,-2.204765019,-2.319117579,-1.830895965
Q9VF71,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VDS7;Q8IN64,-1.380821784,-1.372990907,-1.288698934,-1.473770898
Q9VKE7,-0.223171687,-0.274983099,#VALUE!,#VALUE!
Q7K1W4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQZ1;Q9VX03,-1.339929353,#VALUE!,#VALUE!,#VALUE!
Q9VQ84;Q9VQ83,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V9S7-2;Q9V9S7;Q9V9S7-3,-2.132071916,-1.164043597,#VALUE!,-1.04507415
Q9VFJ3,#VALUE!,-0.161717815,#VALUE!,#VALUE!
Q9VE73,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VI14;Q6NN86,-1.246429692,-1.536921664,0.268793675,-0.918305879
Q7K2N0,#VALUE!,#VALUE!,-0.936911288,-1.126108076
A1ZAI8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VAW1;Q9VAW2,-1.035579187,#VALUE!,#VALUE!,#VALUE!
E1JH91;A1ZAU8-2;A1ZAU8-3;B7YZJ2;A1ZAU8;B7YZJ1;E1JH90;E1JH92,#VALUE!,0.641083553,#VALUE!,#VALUE!
Q95SN8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P04388,-1.297041096,-0.923741925,#VALUE!,#VALUE!
O62531,-1.024413833,-0.459337847,#VALUE!,-0.972676063
Q9VUQ7,-0.304469349,-0.664951287,-0.561004605,1.0824301
Q9VT38,#VALUE!,-0.071011985,#VALUE!,#VALUE!
Q9VX17,-0.002367962,0.143132156,0.515813357,#VALUE!
Q7K1S1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3Y2,-0.954948511,-1.009262921,#VALUE!,#VALUE!
Q9W1I8,-0.485539362,#VALUE!,-0.599855586,#VALUE!
Q9VPU7;Q8IPW1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1H5,-1.467294052,#VALUE!,-0.568451918,-1.41553772
A1Z8Q0,#VALUE!,#VALUE!,0.115965432,#VALUE!
E1JGP2;E1JGP9;Q9W2N4;Q9W2N3;E1JGP4;E1JGQ1;E1JGP8;E1JGP3;E1JGQ0;E1JGP7,-0.400529851,-0.038584109,0.45132982,-0.286972906
O02373,-1.391039401,-1.819037431,#VALUE!,0.040682059
Q9VKV9,#VALUE!,3.774101781,#VALUE!,#VALUE!
Q9VDL0;E1JIR0,-0.407937702,-0.476076788,-0.70181093,#VALUE!
Q9VCE3;Q8IMX4,#VALUE!,-1.037976699,-1.480719787,-1.436744229
Q9VNH5,#VALUE!,-0.90627758,-0.811928293,-1.777096543
Q8MLP1;Q59E61;B7YZQ1;Q9W179,-1.533618244,-3.849253175,#VALUE!,0.33845294
Q9VE50,#VALUE!,#VALUE!,#VALUE!,-0.559239111
Q9W2U4,-0.476759236,#VALUE!,#VALUE!,#VALUE!
Q24114,0.028144768,-0.245488716,-0.538282865,-0.418639111
A1Z9W2,-0.181852965,0.05004888,-0.334061546,-0.230820691
Q9V9U4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VEG9,#VALUE!,0.077106244,#VALUE!,-0.260670324
Q9VN39;Q8T0Q2,#VALUE!,-0.578111565,#VALUE!,#VALUE!
O97064,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W086,-1.621133296,-0.968491877,-1.704535567,-1.591179465
Q9VXN3,-0.231328682,0.668573016,0.042924445,-0.218816568
Q9V3E3,#VALUE!,-0.411252988,-0.471368674,-0.32007182
Q9VNQ3,-0.679804179,-0.356642492,#VALUE!,#VALUE!
Q8MKK0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7JUZ6;A8DYF7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1K0,0.635707964,0.662661255,0.704340813,0.554932602
Q9VMD3,-0.590571045,-0.623487339,-0.525039672,-0.639354798
Q9VPQ2,#VALUE!,0.507515586,0.632454358,0.729792022
A1ZA52,-0.27912619,-0.098660017,#VALUE!,-0.150753299
Q9VK99,#VALUE!,#VALUE!,-0.033717206,0.249263286
Q9VBC9,#VALUE!,#VALUE!,#VALUE!,1.21238257
Q8IPT1;Q8IPT0,0.198745582,0.003890027,-0.127525803,-0.203003629
Q9VF98,#VALUE!,#VALUE!,1.324004081,#VALUE!
Q8SZA8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P04052,-0.729435178,1.776735687,1.021408657,1.699018519
Q9VAX9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VH69,#VALUE!,-0.174979672,-0.250628782,0.574634395
Q24491,#VALUE!,-0.206461975,#VALUE!,#VALUE!
Q9VGE7,-0.955172263,-0.172408573,-0.60197805,-0.791407829
Q9VB17,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VJG2,-0.086951677,0.00604663,0.28166858,0.076695902
Q9VHC0,-0.49222058,-0.146323657,-0.331644834,-0.316007178
Q9VMX0,0.233274539,0.056167306,-0.556966297,-0.122475606
Q9VRL3,0.241474126,-0.641626245,#VALUE!,0.10191896
P08510-6;P08510-2;P08510;P08510-5;E1JJQ5;P08510-4;P08510-7;P08510-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VUY4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VWP4,#VALUE!,0.18497846,#VALUE!,0.092342769
A0AQH0,-1.372430514,-0.106855278,-1.631734517,-0.127037317
A0T1Z5;Q9VFU8;B7Z0J2;A0T1Z4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1A6X2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1A714,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1A750,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1YK02,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P48607-8;Q8IMQ1;P48607-7;Q8IMQ0;P48607-6;Q8IMP7;P48607-2;P48607-10;Q8IMP8;Q8IMP9;P48607-9;A1Z0H7;P48607-5;Q8IG88;P48607-3;P48607,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6F6;Q7JQF6;A1Z6F4;B7YZT1,#VALUE!,#VALUE!,#VALUE!,0.140124224
A1Z6G4,#VALUE!,0.394514142,0.664300785,#VALUE!
A1Z6G6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6G9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6H4;Q7K1T1;A1Z6H3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
C3KGM6;A1Z6M8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6N5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6P2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6P3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z6Q1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q7JUN9;A1Z6R8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q6NND6;Q8IGL5;E1JGZ7;E1JGZ8;A1Z734,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z745;Q8SXN9;A1Z743,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z746-2;A1Z746,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MSH0;A1Z765,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z782;Q8MQL4;A1Z783,-2.301372557,#VALUE!,#VALUE!,#VALUE!
E1JH06;A1Z7A6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7F1,#VALUE!,#VALUE!,-0.303560979,#VALUE!
A1Z7G0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7H7,#VALUE!,-1.456523914,-2.141971247,#VALUE!
A1Z7J7;A1Z7J6,-2.043408014,-2.114597442,-2.193238766,-2.041328046
A1Z7K6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7K8,-2.019170379,-0.965418022,-0.901391797,-2.450242127
A1Z7M8,-1.82413692,-2.174881951,-1.659266839,-2.10755457
A1Z7P1;A1Z7P0,-1.734419082,#VALUE!,-2.676503106,-2.464584016
Q9XYM5;Q5BIG7;Q7KNF5;A1Z7P9;A1Z7P7;A1Z7Q1;Q8IGK3;A1Z7P8;A1Z7P5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
E2QCN3;A1Z7Q7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7Q8,-0.160298348,-0.663053982,-0.762656557,#VALUE!
A1Z7S0,-1.350743248,-2.280755216,1.007697845,-3.009146767
Q95T49;A1Z7S4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7T0;A1Z7T2;A1Z7T0-2;E1JH15;A1Z7T1;A1Z7T3;A8DY76;A1Z7T4,-1.976531719,-2.077406321,-2.143309052,-1.904008087
A1Z7X7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z7X8,0.046141782,0.305795461,-1.404534532,-1.207461118
A1Z7Z4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z850,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z871;Q966V0;A1Z872;Q966U7,#VALUE!,#VALUE!,#VALUE!,-0.193618195
A1Z897,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z8D0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKK6;A1Z8D4;A1Z8D5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z8L3;Q95RZ8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z8L8;Q95TS2,#VALUE!,-1.725660801,-1.598063771,-1.910827306
A1Z8R8,-0.689287619,-0.47838637,#VALUE!,#VALUE!
Q8T085;A1Z8S4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A1Z8U0,-1.191161926,-1.163623387,-2.210562864,-0.020120988
A1Z8U9,-2.93577934,-1.790010208,-2.228705984,-2.323299307
A1Z8W9;A1Z8W8,-0.075687242,-0.368290355,-2.011122664,-2.49980982
A1Z8Z3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
